"",logFC,AveExpr,t,P.Value,adj.P.Val,B
962_241.031221,0.88985,3.6637e-16,4.8999,0.000155,0.0026516,0.89198
972_241.110343,0.90004,-3.636e-16,4.894,0.00015689,0.0026516,0.87995
620_239.105917,1.0013,7.7438e-16,4.8864,0.00015934,0.0026556,0.86457
1249_321.167334,-1.0009,5.9952e-16,-4.8666,0.0001659,0.0027158,0.82448
1235_308.222105,-0.98924,1.249e-17,-4.8575,0.00016904,0.0027158,0.80589
1203_289.632987,0.93019,-5.0793e-16,4.8507,0.0001714,0.0027158,0.79211
222_338.023041,0.86478,-5.7176e-16,4.8445,0.00017359,0.0027158,0.77953
267_606.390386,-1.0133,4.6213e-16,-4.8426,0.00017427,0.0027158,0.77567
1432_419.315644,0.86262,1.8596e-16,4.7756,0.00019995,0.0030761,0.63926
833_443.232963,-1.2854,4.4409e-16,-4.7488,0.00021129,0.0032095,0.58452
992_270.279238,-1.1269,-2.3523e-16,-4.7003,0.00023351,0.0035027,0.48535
139_425.178263,1.0482,4.198e-16,4.6728,0.00024714,0.0036613,0.42912
204_299.258172,0.848,7.7716e-16,4.6509,0.00025859,0.0037842,0.38422
389_496.356224,0.85612,1.9151e-16,4.6343,0.00026762,0.0038691,0.35021
184_362.253793,-1.0873,-5.2458e-16,-4.6049,0.00028445,0.0040635,0.28977
635_182.98521,-1.4296,3.9413e-16,-4.5903,0.00029318,0.004139,0.25982
614_301.17805,-1.0617,-1.249e-16,-4.5727,0.00030406,0.0042256,0.22372
251_435.235404,0.89614,5.0793e-16,4.5691,0.00030636,0.0042256,0.21625
1051_460.987414,0.96906,-4.6096e-16,4.5493,0.0003192,0.0043527,0.17559
866_262.091934,0.99687,-1.8041e-17,4.5183,0.00034042,0.0045899,0.11185
783_441.151397,0.92859,-1.6168e-16,4.4854,0.0003646,0.0048614,0.043896
965_272.162199,-0.98574,4.4964e-16,-4.4777,0.00037045,0.0048851,0.028148
1126_265.216305,0.79336,4.0523e-16,4.4654,0.00038011,0.0049579,0.0026804
952_239.935583,-1.0672,-5.4401e-16,-4.4398,0.00040093,0.0051444,-0.050096
1119_292.01756,0.78304,-1.1102e-17,4.4357,0.0004044,0.0051444,-0.058616
640_305.247023,-0.93269,-1.6098e-16,-4.4323,0.00040726,0.0051444,-0.065594
709_238.927755,-1.2721,3.1364e-16,-4.4033,0.0004327,0.0054088,-0.12553
1104_556.281427,0.89832,-6.6058e-16,4.3905,0.00044439,0.0054976,-0.15189
665_184.985622,-1.3218,-1.2768e-16,-4.3746,0.00045939,0.0056252,-0.18472
1050_339.216687,-0.88146,-1.3878e-17,-4.3303,0.00050409,0.0061101,-0.27649
167_177.007108,-1.1399,-2.5119e-16,-4.3212,0.00051382,0.0061649,-0.29539
990_240.105488,0.82448,-1.9429e-16,4.3165,0.00051888,0.0061649,-0.30508
759_205.003276,-1.1437,1.3323e-16,-4.3113,0.00052458,0.0061715,-0.31586
680_216.966895,-1.2465,4.4409e-16,-4.3064,0.00052995,0.0061741,-0.32592
735_141.958639,-1.1736,3.1919e-16,-4.2738,0.00056744,0.0065474,-0.39345
653_214.003618,-1.3389,4.885e-16,-4.2407,0.00060828,0.0067976,-0.46207
961_172.956406,-1.0802,-5.2267e-16,-4.2384,0.00061134,0.0067976,-0.46702
658_223.963229,-1.3124,-1.1102e-16,-4.2383,0.00061139,0.0067976,-0.4671
630_171.99179,-1.4271,7.7716e-17,-4.2341,0.00061686,0.0067976,-0.47589
171_316.284712,-0.9221,1.5266e-16,-4.2336,0.00061745,0.0067976,-0.47683
802_263.008376,0.97022,1.5448e-16,4.1376,0.00075583,0.0082454,-0.67631
232_737.465585,-0.92842,4.6976e-16,-4.1282,0.00077088,0.0083338,-0.69575
159_411.39862,0.99671,5.5303e-16,4.0858,0.0008431,0.0090332,-0.784
786_239.237037,-1.0823,-5.0515e-16,-4.0628,0.00088493,0.0093975,-0.83169
273_115.036603,-1.0055,1.4225e-16,-4.0464,0.00091611,0.0096433,-0.86579
144_186.956318,-1.0647,5.5511e-18,-3.9887,0.0010349,0.010799,-0.98579
1078_318.143723,0.85662,-6.8556e-16,3.9744,0.0010669,0.010998,-1.0157
867_305.601664,0.93888,-2.9698e-16,3.9699,0.001077,0.010998,-1.025
1187_537.25163,-0.84428,6.8209e-16,-3.9679,0.0010815,0.010998,-1.0291
1072_625.091334,0.87227,-1.6376e-16,3.9345,0.0011608,0.011705,-1.0986
178_693.439461,-0.75819,-8.148e-16,-3.9302,0.0011714,0.011714,-1.1075
937_380.970156,0.91176,1.3704e-16,3.9135,0.0012136,0.011953,-1.1424
925_192.97632,-0.87766,-4.885e-16,-3.9129,0.0012152,0.011953,-1.1437
1218_323.18299,-0.82012,-3.6152e-16,-3.9065,0.0012318,0.012017,-1.1569
38_167.012857,-1.3066,2.1094e-16,-3.8789,0.0013058,0.012637,-1.2143
840_190.98762,-1.0094,-5.1764e-16,-3.8611,0.0013561,0.013019,-1.2513
1157_103.641223,-0.82605,7.0222e-16,-3.8446,0.0014045,0.013376,-1.2858
1445_279.193157,-0.7992,3.4694e-16,-3.8205,0.0014782,0.013967,-1.3359
1067_367.245576,-0.87344,6.4254e-16,-3.8056,0.0015255,0.0143,-1.3668
789_190.979421,-0.9825,2.5535e-16,-3.7988,0.0015476,0.0143,-1.3809
908_242.247936,-0.89873,-6.134e-16,-3.7984,0.0015492,0.0143,-1.3819
223_355.214984,-0.89442,4.5033e-16,-3.7918,0.0015708,0.014389,-1.3955
1110_185.766668,0.80496,-3.6707e-16,3.7805,0.0016092,0.014629,-1.4191
900_256.263589,-0.91103,-7.5218e-16,-3.7694,0.0016475,0.014865,-1.4422
1142_103.631254,-0.86236,4.4825e-16,-3.7585,0.001686,0.015099,-1.4648
987_230.982548,-1.0208,1.367e-16,-3.7533,0.0017047,0.015153,-1.4756
1015_326.30544,-0.84144,-3.3307e-16,-3.7461,0.0017309,0.015272,-1.4905
1054_224.948487,-0.92047,1.1102e-17,-3.7252,0.0018093,0.015848,-1.5339
300_575.283785,-0.857,2.9976e-16,-3.7017,0.0019019,0.016538,-1.5828
1074_185.764326,0.76797,-7.4524e-16,3.6893,0.001953,0.01686,-1.6087
958_231.210817,0.82934,6.5503e-16,3.6419,0.0021595,0.018325,-1.707
947_267.26834,-0.89916,5.8842e-16,-3.6419,0.0021596,0.018325,-1.707
62_243.231947,0.74951,5.794e-16,3.64,0.0021684,0.018325,-1.711
1131_556.271691,0.83497,5.0463e-16,3.6069,0.0023262,0.019521,-1.7796
1082_335.182987,-0.7967,3.6637e-16,-3.5809,0.0024585,0.020488,-1.8336
1140_464.250412,0.75903,-2.0262e-16,3.5523,0.0026122,0.021618,-1.8927
980_388.274392,0.74186,5.5511e-16,3.5338,0.0027168,0.02233,-1.9309
880_204.440478,0.86207,-4.6664e-16,3.5208,0.0027929,0.022799,-1.9579
1137_200.087634,0.83678,-4.9682e-16,3.5063,0.0028802,0.023353,-1.9879
910_308.091179,0.8461,6.1062e-16,3.4999,0.0029199,0.023497,-2.0012
72_381.046876,0.97035,5.1487e-16,3.4971,0.0029371,0.023497,-2.0069
727_312.326187,-1.0469,-1.3878e-17,-3.4906,0.0029779,0.023665,-2.0203
894_340.188413,-0.91142,-4.4409e-16,-3.4792,0.003051,0.024087,-2.0439
1010_194.975125,-0.77195,5.0793e-16,-3.4729,0.0030919,0.02425,-2.0569
1180_278.138464,0.73819,-7.5495e-16,3.4612,0.0031695,0.024493,-2.081
981_320.966996,0.82628,-7.6883e-16,3.4559,0.0032056,0.024493,-2.092
942_627.313466,0.8283,1.5821e-16,3.452,0.0032319,0.024493,-2.1
890_654.253316,0.85655,2.9421e-16,3.4503,0.0032438,0.024493,-2.1035
876_300.289804,-0.92781,4.1356e-16,-3.4501,0.003245,0.024493,-2.1039
1181_348.326174,-0.78424,1.5335e-16,-3.4501,0.0032453,0.024493,-2.104
228_335.174055,0.74506,5.5095e-16,3.4289,0.0033948,0.025461,-2.1477
704_125.986288,-1.0588,-5.8842e-16,-3.4242,0.0034284,0.025505,-2.1573
