"",logFC,AveExpr,t,P.Value,adj.P.Val,B
630_171.99179,-1.4035,-1.8874e-16,-4.2821,0.00048974,0.0083191,-0.21175
1383_197.114905,0.92667,3.4278e-16,4.2798,0.00049221,0.0083191,-0.21669
635_182.98521,-1.4056,4.2744e-16,-4.2655,0.00050766,0.0084611,-0.24696
38_167.012857,-1.3651,3.8858e-16,-4.2024,0.00058229,0.0095719,-0.38121
159_411.39862,1.0363,-5.5511e-18,4.1798,0.00061155,0.0099171,-0.42918
178_693.439461,-1.078,1.2768e-16,-4.1722,0.00062178,0.0099485,-0.4454
1148_167.067928,-0.91312,4.9856e-16,-4.1445,0.00066036,0.010427,-0.50427
709_238.927755,-1.2599,3.0531e-16,-4.1355,0.0006735,0.010496,-0.52354
653_214.003618,-1.3388,3.4139e-16,-4.117,0.00070107,0.010692,-0.56276
680_216.966895,-1.244,-3.2196e-16,-4.1152,0.00070389,0.010692,-0.56668
295_650.416666,-0.94446,7.7993e-16,-4.1086,0.00071403,0.01071,-0.58066
334_277.119974,0.90641,-1.8353e-16,4.099,0.00072913,0.010732,-0.6011
1675_183.099241,0.89748,6.8283e-16,4.0964,0.00073336,0.010732,-0.60676
683_383.116082,1.0432,2.8311e-16,4.0803,0.00075954,0.010981,-0.64103
2103_241.25269,0.91195,-1.1796e-17,4.0724,0.0007726,0.011037,-0.65768
759_205.003276,-1.1398,2.2204e-16,-4.0568,0.0007994,0.011286,-0.69098
665_184.985622,-1.2931,-4.9682e-16,-4.0129,0.00087973,0.012275,-0.78447
1072_625.091334,0.93631,2.9976e-16,3.9924,0.00091995,0.012689,-0.82809
313_544.966816,0.93369,6.134e-16,3.9601,0.00098708,0.01346,-0.89678
987_230.982548,-1.0694,-5.2024e-16,-3.9173,0.0010837,0.014611,-0.98779
232_737.465585,-0.97391,1.4433e-16,-3.8961,0.0011352,0.015137,-1.0331
144_186.956318,-1.0777,4.7184e-16,-3.8875,0.0011565,0.015251,-1.0512
185_265.888636,-0.95874,4.3299e-16,-3.8712,0.0011985,0.015632,-1.0859
1249_321.167334,-0.93806,-5.9952e-16,-3.8356,0.0012956,0.016717,-1.1617
139_425.178263,0.8958,-5.0515e-16,3.8266,0.0013211,0.016866,-1.1807
704_125.986288,-1.1322,2.1094e-16,-3.8185,0.0013449,0.016988,-1.1981
735_141.958639,-1.138,3.5527e-16,-3.807,0.001379,0.017237,-1.2224
786_239.237037,-1.0704,3.7192e-16,-3.7615,0.0015232,0.018843,-1.3191
210_272.222126,0.9155,6.9389e-19,3.7515,0.0015569,0.018887,-1.3403
867_305.601664,0.94424,-1.6237e-16,3.7511,0.0015582,0.018887,-1.3411
908_242.247936,-0.92572,-6.0368e-16,-3.7351,0.0016136,0.019302,-1.3751
965_272.162199,-0.94228,-5.8287e-16,-3.732,0.0016246,0.019302,-1.3817
263_249.109821,-0.85019,-5.107e-16,-3.7238,0.0016539,0.019338,-1.399
166_528.364321,0.93972,4.6074e-16,3.7222,0.0016599,0.019338,-1.4025
1124_125.024753,0.86819,1.8874e-16,3.7033,0.0017297,0.019958,-1.4425
1027_241.973799,-0.89693,4.8017e-16,-3.6989,0.0017465,0.01996,-1.4519
1029_323.219369,-0.87517,-6.6058e-16,-3.6901,0.0017803,0.020155,-1.4705
1116_379.193931,0.88805,2.8796e-17,3.6358,0.0020045,0.02248,-1.5855
73_302.1963,1.0428,4.9283e-16,3.6113,0.0021147,0.023496,-1.6374
910_308.091179,0.93198,-2.7166e-16,3.5765,0.0022816,0.025119,-1.7109
961_172.956406,-1.0177,-2.6056e-16,-3.5715,0.0023069,0.025166,-1.7216
163_249.221386,0.93746,2.6923e-16,3.5214,0.0025732,0.027818,-1.8272
764_213.018366,-1.0093,6.3005e-16,-3.5157,0.0026059,0.02792,-1.8394
1174_223.074796,0.88335,1.6584e-16,3.5063,0.0026597,0.028245,-1.8592
947_267.26834,-0.9107,-5.8842e-16,-3.4997,0.0026985,0.028405,-1.8732
986_125.986368,-0.87652,2.9421e-16,-3.4828,0.0027994,0.029211,-1.9086
840_190.98762,-0.98254,-2.609e-16,-3.4573,0.0029595,0.030411,-1.9623
171_316.284712,-0.83361,4.9891e-16,-3.4543,0.0029791,0.030411,-1.9687
727_312.326187,-1.0601,-3.525e-16,-3.4525,0.0029904,0.030411,-1.9723
1021_178.963806,0.9022,7.3552e-16,3.445,0.00304,0.030656,-1.9882
230_294.206475,0.87144,-1.6723e-16,3.4205,0.0032062,0.032062,-2.0395
1015_326.30544,-0.83432,-3.4972e-16,-3.3928,0.0034059,0.033555,-2.0977
661_182.044863,0.85539,1.759e-16,3.392,0.0034114,0.033555,-2.0993
1220_556.248406,0.82937,5.0515e-16,3.3737,0.0035504,0.034609,-2.1377
1187_537.25163,-0.80973,-5.2285e-16,-3.3688,0.0035881,0.034609,-2.1479
1105_107.734598,0.85078,2.9976e-16,3.3667,0.0036051,0.034609,-2.1525
851_192.992425,0.84694,-1.5196e-16,3.3626,0.0036369,0.034637,-2.1609
998_783.11886,0.86308,1.6445e-16,3.3271,0.0039289,0.037123,-2.2352
1108_307.115302,-0.80038,-6.9389e-16,-3.3021,0.0041478,0.038886,-2.2873
1289_347.29456,-0.80277,-4.9405e-16,-3.2879,0.0042779,0.039483,-2.3169
1023_208.707438,0.8495,-3.2335e-16,3.2853,0.0043018,0.039483,-2.3223
896_185.431769,0.86879,2.9317e-16,3.2834,0.0043197,0.039483,-2.3263
