peakID,Control1,Control2,Control3,Control4,Control5,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,Serum-free1,Serum-free2,Serum-free3,Serum-free4,Serum-free5,RA1,RA2,RA3,RA4,RA5
765_410.102312,2595729.417,4942751.735,2039985.994,6173894.561,2902926.966,0,2244019.382,2809577.355,3591990.744,9610328.26,4463053.864,2301413,1899543.905,3299869.998,2362049.987,1648604.214,2557286.938,1964542.427,4875648.866,3808493.33
766_272.258506,2776457.717,3516158.039,14927511.65,6033774.525,2225178.774,3166812.333,2128023.874,2293116.429,4022358.786,4793897.756,4242413.655,1836757.875,1737060.079,2681630.715,2144105.493,2031805.12,4590332.891,0,3100945.593,3539293.761
767_301.14164,1933022.65,0,0,1966231.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700945.43,0
768_561.479729,0,0,0,0,0,0,1613998.041,0,0,0,0,0,0,0,0,0,0,0,0,1990256.906
769_100.729321,5248892.709,4764230.249,2632956.416,4286249.467,4079314.642,0,2805019.177,2786619.886,4321487.905,4322956.868,4001007.188,3960371.5,4080849.476,3322135.136,2979152.989,2991888.531,2745309.606,4627988.492,2725137.503,2441836.269
770_299.110221,4983797.429,3922821.586,9552914.886,3251310.496,3210233.909,5281345.902,2609154.808,2901107.764,3308576.271,4945841.505,3416768.007,2426530.75,2458537.333,2671020.751,2599347.812,3582420.531,3551304.355,2171432.628,4522538.662,4171830.528
771_301.140634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175763.143,0,0,0,0
772_937.137846,4578510.299,3378747.352,5483784.091,3678404.982,0,2941130.143,4412730.886,5499571.126,2507743.311,7600355.025,5050178.435,4639702.5,3832719.665,3019069.373,3911956.492,4899689.788,4179544.771,2437265.8,5407177.181,4248417.938
773_313.125872,3778283.064,3651313.963,4148078.415,2858774.811,4894017.729,6620173.014,3234394.431,3072471.229,4040549.214,4797429.474,3367785.653,2406103.75,2559534.41,4511888.627,3050621.121,2938543.313,3019583.897,4097603.566,3950014.195,0
774_217.158784,0,0,0,0,0,0,0,0,0,2270704.716,0,0,0,0,0,1587993.613,0,0,0,0
775_231.083997,2826911.741,3273527.329,2910666.86,0,3045412.669,4667152.715,2762336.117,10884721.35,3024840.678,3544969.334,2959421.029,3104358.75,3889612.376,3608328.295,2399271.761,2928642.025,10672299.09,3011892.151,4216140.446,3354182.22
776_122.081211,3211302.463,3720862.268,2304005.958,3080384.664,2885345.478,8166844.68,3655021.572,3381134.931,4902251.772,4706255.188,3816588.176,2304352.25,0,4495343.59,3111355.343,3091650.26,3816910.003,3406914.075,3118239.865,3372861.534
