"",logFC,AveExpr,t,P.Value,adj.P.Val,B
1374_416.227961,0.53139,-3.525e-16,1.8189,0.073377,0.34151,-4.3992
2589_607.591925,0.52888,-1.8319e-16,1.8162,0.073789,0.34151,-4.4035
3204_209.126132,0.52828,-5.5511e-16,1.8158,0.073852,0.34151,-4.4042
2825_600.775055,0.52752,-7.4662e-16,1.813,0.074301,0.34151,-4.4088
2076_662.011176,0.52676,-9.2981e-16,1.81,0.074765,0.34151,-4.4137
1473_607.018908,0.52643,3.636e-16,1.8089,0.074933,0.34151,-4.4154
960_289.626724,-0.52107,6.0368e-16,-1.8069,0.075257,0.34151,-4.4187
393_678.213233,0.52455,9.3259e-16,1.8041,0.075695,0.34151,-4.4232
1510_529.348595,0.52386,1.9706e-16,1.8016,0.076085,0.34151,-4.4272
2790_697.489512,0.52315,7.6605e-16,1.8007,0.076235,0.34151,-4.4287
3043_573.799623,0.52312,9.2426e-16,1.8001,0.076322,0.34151,-4.4296
3200_745.39358,0.52273,-5.6344e-16,1.7995,0.076425,0.34151,-4.4306
2786_655.232895,0.52362,-1.3878e-17,1.7988,0.07654,0.34151,-4.4318
694_363.274192,0.52699,3.6915e-16,1.7986,0.076565,0.34151,-4.432
1367_351.225511,0.52139,-1.8041e-16,1.7958,0.077012,0.34151,-4.4365
2317_646.848535,0.52136,-5.7176e-16,1.7957,0.077041,0.34151,-4.4368
1765_204.123113,0.52311,-1.8874e-16,1.795,0.077147,0.34151,-4.4379
1306_332.33193,0.53742,1.7417e-16,1.7945,0.077223,0.34151,-4.4386
2391_640.438349,0.52138,-3.636e-16,1.7942,0.077279,0.34151,-4.4392
418_595.739712,0.52079,5.8564e-16,1.7937,0.077358,0.34151,-4.44
3367_686.851147,0.52064,-2.7756e-18,1.7936,0.07737,0.34151,-4.4401
1668_641.465155,0.52099,-2.7756e-18,1.7934,0.077403,0.34151,-4.4404
3334_100.733993,0.52109,5.3846e-16,1.7928,0.077497,0.34151,-4.4414
1119_292.01756,0.5206,5.6344e-16,1.7927,0.077514,0.34151,-4.4415
3085_641.228262,0.52162,-7.2442e-16,1.7924,0.077564,0.34151,-4.442
2378_606.99341,0.52005,5.6066e-16,1.7919,0.07765,0.34151,-4.4429
3348_698.693076,0.52052,7.6883e-16,1.7918,0.07767,0.34151,-4.4431
3751_593.028724,0.51994,3.7192e-16,1.7913,0.077751,0.34151,-4.4439
275_342.227604,0.51962,-3.9968e-16,1.7905,0.077873,0.34151,-4.4451
