"Bucket.label","m.z","Name","Formula","peakid","difkegg","closestkegg","ckeggname","ckeggform","rdif","allkegg","allkeggnames","valid"
"618.6828083695 Da",619.690085,"","","2950_619.690085",0.413808369499975,"C16542","APC","C33H38N4O8",0.000669301500641266,"C16542","APC",FALSE
"646.5032616984 Da",647.510538,"","C37H66N4O5","2951_647.510538",4.28673830159994,"C02465","Triiodothyronine","C15H12I3NO4",0.00658697629281326,"","",FALSE
"618.8685619145 Da",619.875838,"","C13H21N3O5S10","2952_619.875838",0.599561914499986,"C16542","APC","C33H38N4O8",0.000969742805316111,"C16542","APC",FALSE
"676.4803602615 Da",677.487637,"","C36H65N6O4P","2953_677.487637",10.2584602615,"C01613","Stachyose","C24H42O21",0.0153979631433611,"","",FALSE
"720.3641180202 Da",721.371394,"","C42H60N2S4","2954_721.371394",3.09231802019997,"C04489","5-Methyltetrahydropteroyltri-L-glutamate","C30H39N9O12",0.00431122207815778,"","",FALSE
"706.1182710754 Da",707.125548,"","C22H23N14O10PS","2955_707.125548",2.86207107539997,"C04144","Tetrahydropteroyltri-L-glutamate","C29H37N9O12",0.0040697416893018,"","",FALSE
"580.6030185173 Da",581.610295,"","","2956_581.610295",0.568718517299999,"C00167","UDP-glucuronate","C15H22N2O18P2",0.000980491183538627,"C00167","UDP-glucuronate",FALSE
"583.5165605463 Da",584.523837,"","","2957_584.523837",0.746939453700065,"C00486","Bilirubin","C33H36N4O6",0.00127842908841655,"","",TRUE
"622.6859358150 Da",623.693212,"","","2958_623.693212",1.65853581500005,"C20742","2'-Phospho-cyclic ADP-ribose","C15H22N5O16P3",0.00267063227000942,"","",TRUE
"606.7735872471 Da",607.780864,"","C12H5N3O10S8","2959_607.780864",0.308012752900026,"C00043","UDP-N-acetyl-alpha-D-glucosamine","C17H27N3O17P2",0.000507366312700017,"C00043|C00203","UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-galactosamine",FALSE
"701.2787332723 Da",702.28601,"","C31H35N13O7","2960_702.28601",1.97746672770006,"C04144","Tetrahydropteroyltri-L-glutamate","C29H37N9O12",0.00281187244093982,"","",FALSE
"722.2713757692 Da",723.278652,"","C36H43N4O10P","2961_723.278652",1.79342423080004,"C19848","Adenylated molybdopterin","C20H26N10O12P2S2",0.00247688360323557,"","",FALSE
"597.6839424330 Da",598.691219,"","","2962_598.691219",3.39825756699997,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00565356546409122,"","",FALSE
"602.8593822369 Da",603.866659,"","C14H9NO16P4S","2963_603.866659",1.7771822369001,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.0029566376061379,"","",FALSE
"709.3126112637 Da",710.319888,"","C37H48N3O9P","2964_710.319888",6.05641126369994,"C04144","Tetrahydropteroyltri-L-glutamate","C29H37N9O12",0.00861195573348652,"","",FALSE
"631.6891911146 Da",632.696468,"","","2965_632.696468",3.45290888540001,"C11278","Aflatoxin B1exo-8,9-epoxide-GSH","C27H29N3O13S",0.00543643522512522,"","",FALSE
"614.2075494836 Da",615.214826,"","C31H26N12OS","2966_615.214826",0.060249483600046,"C00128","CMP-N-acetylneuraminate","C20H31N4O16P",9.81026597365909e-05,"C00128","CMP-N-acetylneuraminate",FALSE
"778.6665675212 Da",779.673844,"","C45H90N6S2","2967_779.673844",1.97986752120005,"C01829","Thyroxine","C15H11I4NO4",0.00254911989763704,"","",FALSE
"670.9315480817 Da",671.938825,"","C21H6N9O12PS2","2968_671.938825",4.70964808170004,"C01613","Stachyose","C24H42O21",0.00706918833154545,"","",FALSE
"603.4963551613 Da",604.503632,"","","2969_604.503632",1.58084483869993,"C00096","GDP-mannose","C16H25N5O16P2",0.00261263329489184,"","",FALSE
"696.1127397418 Da",697.120016,"","C17H21N20O6PS2","2970_697.120016",7.14346025819998,"C04144","Tetrahydropteroyltri-L-glutamate","C29H37N9O12",0.0101576925424902,"","",FALSE
"765.4111205610 Da",766.418397,"","C34H64N5O10PS","2971_766.418397",10.8518794390001,"C01217","5,6,7,8-Tetrahydromethanopterin","C30H45N6O16P",0.0139796427744206,"","",FALSE
"660.4192526397 Da",661.426529,"","C46H52N4","2972_661.426529",0.103352639699892,"C03263","Coproporphyrinogen III","C36H44N4O8",0.000156519992476165,"C01204|C03263","Phytic acid|Coproporphyrinogen III",FALSE
"626.4178690720 Da",627.425146,"","C32H59N4O6P","2973_627.425146",1.11456907199999,"C02166","Leukotriene C4","C30H47N3O9S",0.00178244553003318,"","",TRUE
"586.1827217071 Da",587.189998,"","C15H26N18O4S2","2974_587.189998",0.096378292899999,"C16641","Irinotecan","C33H38N4O6",0.000164389781078669,"C16641|C03428","Irinotecan|Presqualene diphosphate",FALSE
"594.5894364299 Da",595.596713,"","","2975_595.596713",4.27903642990009,"C05791","D-Urobilinogen","C33H42N4O6",0.00724879051749739,"","",TRUE
"606.9736318619 Da",607.980908,"","C24H9N5O11S2","2976_607.980908",0.107968138099977,"C00043","UDP-N-acetyl-alpha-D-glucosamine","C17H27N3O17P2",0.000177847818316314,"C00043|C00203","UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-galactosamine",FALSE
"613.3919162275 Da",614.399193,"","C28H55N9O2S2","2977_614.399193",0.755383772499954,"C00128","CMP-N-acetylneuraminate","C20H31N4O16P",0.00122997165745083,"","",FALSE
